kp,kd,target_scale,total_steps,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p20,max_abs_pitch,pitch_margin_to_0p20,z_margin_to_0p22,max_joint_error,max_swing_joint_error,max_stance_joint_error,max_tau_raw_abs,max_tau_total_abs,saturation_steps,pass,pass_margin,recommended
60.0,2.0,0.6,1200,0.284805846483,0.284007058632,0.270602307334,0.284891546936,-0.000798787851,-0.020806917200,-0.009784481441,0.061827429828,0.138172570172,0.058206477354,0.141793522646,0.050602307334,0.066311498971,0.066311498971,0.054143388696,9.385851700197,9.385851700197,0,True,True,False
60.0,2.0,0.75,1200,0.284805846483,0.275094947241,0.268582853561,0.285238759449,-0.009710899243,0.012340251285,0.010872637093,0.137286410564,0.062713589436,0.058356192869,0.141643807131,0.048582853561,0.083741168037,0.083741168037,0.052242570128,10.473294761211,10.473294761211,0,False,False,False
60.0,2.0,0.9,1200,0.284805846483,0.277555234244,0.271424814685,0.286313869819,-0.007250612239,0.000562391402,-0.006699328943,0.104053806037,0.095946193963,0.069157994334,0.130842005666,0.051424814685,0.096856076900,0.096856076900,0.053180600896,10.755447480119,10.755447480119,0,False,False,False
60.0,2.0,1.0,1200,0.284805846483,0.279508311107,0.267859241426,0.284890906400,-0.005297535377,-0.013012407744,-0.034069559318,0.084753673215,0.115246326785,0.065941649870,0.134058350130,0.047859241426,0.099326587385,0.099326587385,0.059115939974,11.351652439391,11.351652439391,0,False,False,False
60.0,4.0,0.6,1200,0.284805846483,0.279147120790,0.260459907173,0.284908336507,-0.005658725693,-0.070994321934,-0.034514907892,0.073755426225,0.126244573775,0.065876171292,0.134123828708,0.040459907173,0.123511332781,0.123281573946,0.123511332781,16.874993316300,16.874993316300,0,False,False,False
60.0,4.0,0.75,1200,0.284805846483,0.267171497879,0.259437780030,0.284908336507,-0.017634348605,-0.004988004023,-0.005317001403,0.098530444165,0.101469555835,0.067379847316,0.132620152684,0.039437780030,0.132581114683,0.129912151718,0.132581114683,17.225389964990,17.225389964990,0,False,False,False
60.0,4.0,0.9,1200,0.284805846483,0.264367300332,0.260400205860,0.284908336507,-0.020438546151,0.009481532058,-0.032465009607,0.081398725611,0.118601274389,0.077762194249,0.122237805751,0.040400205860,0.129800705746,0.129159180173,0.129800705746,17.549955119198,17.549955119198,0,False,False,False
60.0,4.0,1.0,1200,0.284805846483,0.270504386907,0.261107287782,0.284908336507,-0.014301459576,-0.027821560016,-0.038884318468,0.098660021689,0.101339978311,0.065938931586,0.134061068414,0.041107287782,0.135456696216,0.135456696216,0.128186866715,17.358351415020,17.358351415020,0,False,False,False
60.0,6.0,0.6,1200,0.284805846483,0.259993047783,0.250913561337,0.284908336507,-0.024812798700,-0.023615830386,0.006098464869,0.080015996432,0.119984003568,0.040846676667,0.159153323333,0.030913561337,0.164173916867,0.164173916867,0.158987716508,26.588813245979,23.700000000000,107,False,False,False
60.0,6.0,0.75,1200,0.284805846483,0.258894930649,0.252216072080,0.284908336507,-0.025910915834,-0.015602787243,-0.027176546988,0.096413628308,0.103586371692,0.057416469673,0.142583530327,0.032216072080,0.196369912457,0.192022819577,0.196369912457,26.636647486476,23.700000000000,164,False,False,False
60.0,6.0,0.9,1200,0.284805846483,0.261412991153,0.254106826866,0.284908336507,-0.023392855330,0.007661875871,-0.014832835386,0.080384712750,0.119615287250,0.077900651126,0.122099348874,0.034106826866,0.193129743355,0.187152253027,0.193129743355,26.246656075112,23.700000000000,136,False,False,False
60.0,6.0,1.0,1200,0.284805846483,0.260515186033,0.247879531357,0.284908336507,-0.024290660451,0.049168638508,0.011033462787,0.107351798739,0.092648201261,0.072944366600,0.127055633400,0.027879531357,0.191128589980,0.181707594026,0.191128589980,26.274911347359,23.700000000000,147,False,False,False
80.0,2.0,0.6,1200,0.284805846483,0.282769844842,0.270657074947,0.285595003453,-0.002036001641,-0.006184160640,-0.008386076938,0.063224324564,0.136775675436,0.055307047284,0.144692952716,0.050657074947,0.059643533460,0.059643533460,0.035331528104,9.930087778241,9.930087778241,0,True,True,True
80.0,2.0,0.75,1200,0.284805846483,0.281075348930,0.271198701725,0.287618283716,-0.003730497553,-0.009143178645,-0.008420935394,0.104967245026,0.095032754974,0.067597201445,0.132402798555,0.051198701725,0.085856997117,0.085856997117,0.042453998316,11.758841400508,11.758841400508,0,False,False,False
80.0,2.0,0.9,1200,0.284805846483,0.280986993138,0.271126527832,0.284891636668,-0.003818853346,-0.009620879029,-0.040140004245,0.107715139932,0.092284860068,0.076820236811,0.123179763189,0.051126527832,0.080225907048,0.080225907048,0.040251810994,11.419946430700,11.419946430700,0,False,False,False
80.0,2.0,1.0,1200,0.284805846483,0.279534552444,0.273102812909,0.284891423155,-0.005271294039,0.038429872791,-0.003073737536,0.104118387450,0.095881612550,0.081151762688,0.118848237312,0.053102812909,0.085017238759,0.085017238759,0.048799669341,11.600953113641,11.600953113641,0,False,False,False
80.0,4.0,0.6,1200,0.284805846483,0.275815478613,0.264118079288,0.284908336507,-0.008990367870,0.020356824929,-0.013140085997,0.066202297832,0.133797702168,0.052681592787,0.147318407213,0.044118079288,0.098458760976,0.098458760976,0.093169304305,17.531022657164,17.531022657164,0,False,False,False
80.0,4.0,0.75,1200,0.284805846483,0.271164666681,0.265034021830,0.284908336507,-0.013641179802,-0.013625873170,0.013091678767,0.075051605776,0.124948394224,0.073133677660,0.126866322340,0.045034021830,0.100037139486,0.100037139486,0.092614012184,17.419729941560,17.419729941560,0,False,False,False
80.0,4.0,0.9,1200,0.284805846483,0.271642722127,0.262507951737,0.284908336507,-0.013163124356,-0.047745175647,-0.021458693557,0.087998298351,0.112001701649,0.066838381433,0.133161618567,0.042507951737,0.105274612404,0.105274612404,0.100351804551,17.606465153145,17.606465153145,0,False,False,False
80.0,4.0,1.0,1200,0.284805846483,0.270067585763,0.261442902004,0.284908336507,-0.014738260720,-0.054291686100,-0.020988447052,0.102482936609,0.097517063391,0.078431057567,0.121568942433,0.041442902004,0.105331862951,0.104344061775,0.105331862951,19.080667774169,19.080667774169,0,False,False,False
80.0,6.0,0.6,1200,0.284805846483,0.261768148429,0.256589105281,0.284908336507,-0.023037698054,-0.046399374557,-0.000765373603,0.098299140132,0.101700859868,0.049516680299,0.150483319701,0.036589105281,0.131614675587,0.125852248242,0.131614675587,26.229456791679,23.700000000000,164,False,False,False
80.0,6.0,0.75,1200,0.284805846483,0.265632014157,0.258000678435,0.284908336507,-0.019173832326,-0.026194988933,-0.031423873468,0.118287678351,0.081712321649,0.061281446359,0.138718553641,0.038000678435,0.147834751799,0.146168503256,0.147834751799,27.116824450835,23.700000000000,133,False,False,False
80.0,6.0,0.9,1200,0.284805846483,0.261519621421,0.259179353744,0.284908336507,-0.023286225063,-0.051146452472,-0.028011075831,0.087261249878,0.112738750122,0.073141846639,0.126858153361,0.039179353744,0.152909478678,0.146759489539,0.152909478678,26.150791369940,23.700000000000,157,False,False,False
80.0,6.0,1.0,1200,0.284805846483,0.263437821662,0.260017701606,0.284908336507,-0.021368024821,-0.005222570791,-0.016710462462,0.086164262712,0.113835737288,0.093318351403,0.106681648597,0.040017701606,0.162008894725,0.158500220723,0.162008894725,26.533074961520,23.700000000000,140,False,False,False
100.0,2.0,0.6,1200,0.284805846483,0.279258866679,0.271297764622,0.287972656053,-0.005546979804,-0.037340083192,-0.011826715444,0.116433103310,0.083566896690,0.060696401265,0.139303598735,0.051297764622,0.063601221453,0.063601221453,0.030678433010,11.152088345117,11.152088345117,0,True,True,False
100.0,2.0,0.75,1200,0.284805846483,0.281321680599,0.269802396002,0.293639969879,-0.003484165884,0.004956310091,-0.013637421117,0.101583082314,0.098416917686,0.085009786559,0.114990213441,0.049802396002,0.064656989240,0.064656989240,0.038389946117,10.828354925614,10.828354925614,0,True,True,False
100.0,2.0,0.9,1200,0.284805846483,0.278706623531,0.272061956524,0.285181545895,-0.006099222952,-0.024582666439,-0.007203316142,0.123602506045,0.076397493955,0.084270539189,0.115729460811,0.052061956524,0.068122208484,0.068122208484,0.034335026281,11.556103283114,11.556103283114,0,True,True,False
100.0,2.0,1.0,1200,0.284805846483,0.278423867903,0.271460135714,0.289774833230,-0.006381978580,0.007083376198,-0.021092202166,0.138249255841,0.061750744159,0.084421669759,0.115578330241,0.051460135714,0.072290570146,0.072290570146,0.036604707586,11.656784506193,11.656784506193,0,True,True,False
100.0,4.0,0.6,1200,0.284805846483,0.273950819443,0.265616122538,0.284908336507,-0.010855027040,0.001098125635,-0.013154607906,0.072579236982,0.127420763018,0.066168885364,0.133831114636,0.045616122538,0.082081753843,0.082081753843,0.081520000017,17.464734226537,17.464734226537,0,False,False,False
100.0,4.0,0.75,1200,0.284805846483,0.270888737216,0.267621409423,0.284908336507,-0.013917109267,0.011210105985,0.005082865114,0.135853384126,0.064146615874,0.072997321791,0.127002678209,0.047621409423,0.086450696148,0.086450696148,0.079489561295,17.691173471515,17.691173471515,0,False,False,False
100.0,4.0,0.9,1200,0.284805846483,0.271535180360,0.267658900009,0.284908336507,-0.013270666124,-0.040890744871,-0.029074177936,0.115375336588,0.084624663412,0.071871984632,0.128128015368,0.047658900009,0.102548862955,0.102548862955,0.080290141074,20.723982962637,20.723982962637,0,False,False,False
100.0,4.0,1.0,1200,0.284805846483,0.273971098072,0.267003662455,0.284908336507,-0.010834748411,-0.005099785228,-0.034169322422,0.108436581394,0.091563418606,0.076488931819,0.123511068181,0.047003662455,0.105170242475,0.105170242475,0.084710758120,20.958677861167,20.958677861167,0,False,False,False
100.0,6.0,0.6,1200,0.284805846483,0.271358898999,0.260951514207,0.284908336507,-0.013446947485,0.036949662393,-0.011203532986,0.066666523109,0.133333476891,0.058826557767,0.141173442233,0.040951514207,0.122683805922,0.122683805922,0.119477246605,26.415974065736,23.700000000000,219,False,False,False
100.0,6.0,0.75,1200,0.284805846483,0.269170988658,0.256133306355,0.284908336507,-0.015634857825,-0.014348612956,-0.007130632172,0.069569055720,0.130430944280,0.063873996792,0.136126003208,0.036133306355,0.130417690737,0.130417690737,0.121145422934,26.959961192672,23.700000000000,187,False,False,False
100.0,6.0,0.9,1200,0.284805846483,0.271216411643,0.256703986893,0.284908336507,-0.013589434840,-0.036683456821,-0.031919953084,0.112817057812,0.087182942188,0.072193352967,0.127806647033,0.036703986893,0.119688396919,0.112768352812,0.119688396919,26.803566070776,23.700000000000,225,False,False,False
100.0,6.0,1.0,1200,0.284805846483,0.267034995675,0.259076854051,0.284908336507,-0.017770850809,-0.024434459625,-0.016625651024,0.098160330858,0.101839669142,0.065718046280,0.134281953720,0.039076854051,0.132467072782,0.129709174008,0.132467072782,26.441206296805,23.700000000000,166,False,False,False
